"comuna","nom_com","city","percent"
4101,"La Serena","Gran Coquimbo",50.5
4102,"Coquimbo","Gran Coquimbo",50
5101,"Valparaíso","Valparaíso Metropolitano",51.9
5103,"Concón","Valparaíso Metropolitano",53.6
5109,"Viña del Mar","Valparaíso Metropolitano",50.8
5801,"Quilpué","Valparaíso Metropolitano",46.9
5804,"Villa Alemana","Valparaíso Metropolitano",48.7
6101,"Rancagua","Rancagua - Machalí",50.5
6108,"Machalí","Rancagua - Machalí",46.6
7101,"Talca","Talca - Maule",52.8
7105,"Maule","Talca - Maule",47.8
8101,"Concepción","Gran Concepcion",51.9
8102,"Coronel","Gran Concepcion",51.4
8103,"Chiguayante","Gran Concepcion",53.5
8106,"Lota","Gran Concepcion",55
8107,"Penco","Gran Concepcion",54.9
8108,"San Pedro de la Paz","Gran Concepcion",51.8
8110,"Talcahuano","Gran Concepcion",53.3
8111,"Tomé","Gran Concepcion",53.3
8112,"Hualpén","Gran Concepcion",55.1
9101,"Temuco","Temuco",54.4
9112,"Padre Las Casas","Temuco",47.2
10101,"Puerto Montt","Puerto Montt - Varas",50.4
10109,"Puerto Varas","Puerto Montt - Varas",49.4
11101,"Coihaique","Coyhaique",55.2
12101,"Punta Arenas","Punta Arenas",55.2
13101,"Santiago","Gran Santiago",48.5
13102,"Cerrillos","Gran Santiago",53.2
13103,"Cerro Navia","Gran Santiago",48.1
13104,"Conchalí","Gran Santiago",50.8
13105,"El Bosque","Gran Santiago",51.4
13106,"Estación Central","Gran Santiago",51.1
13107,"Huechuraba","Gran Santiago",50.2
13108,"Independencia","Gran Santiago",50.1
13109,"La Cisterna","Gran Santiago",48.9
13110,"La Florida","Gran Santiago",48.9
13111,"La Granja","Gran Santiago",49.8
13112,"La Pintana","Gran Santiago",51.1
13113,"La Reina","Gran Santiago",50.9
13114,"Las Condes","Gran Santiago",46.3
13115,"Lo Barnechea","Gran Santiago",47
13116,"Lo Espejo","Gran Santiago",53.6
13117,"Lo Prado","Gran Santiago",51.3
13118,"Macul","Gran Santiago",53.3
13119,"Maipú","Gran Santiago",50.9
13120,"Ñuñoa","Gran Santiago",48.3
13121,"Pedro Aguirre Cerda","Gran Santiago",47.6
13122,"Peñalolén","Gran Santiago",50.7
13123,"Providencia","Gran Santiago",45.3
13124,"Pudahuel","Gran Santiago",50.9
13125,"Quilicura","Gran Santiago",47.3
13126,"Quinta Normal","Gran Santiago",49.3
13127,"Recoleta","Gran Santiago",48.5
13128,"Renca","Gran Santiago",53
13129,"San Joaquín","Gran Santiago",53.5
13130,"San Miguel","Gran Santiago",47.8
13131,"San Ramón","Gran Santiago",48.5
13132,"Vitacura","Gran Santiago",42.2
13201,"Puente Alto","Gran Santiago",50.1
13401,"San Bernardo","Gran Santiago",46.9
14101,"Valdivia","Valdivia",54.7
15101,"Arica","Arica",47.9
16101,"Chillán","Chillán",57.5
16102,"Bulnes","Chillán",43.7
16103,"Chillán Viejo","Chillán",53.9
16301,"San Carlos","Chillán",56.8
16305,"San Nicolás","Chillán",37.1
1101,"Iquique","Iquique - Alto Hospicio",44
1107,"Alto Hospicio","Iquique - Alto Hospicio",44.2
2101,"Antofagasta","Antofagasta",43.2
3101,"Copiapó","Copiapo",45.1
4101,"La Serena","Gran Coquimbo",45.3
4102,"Coquimbo","Gran Coquimbo",45
5101,"Valparaíso","Valparaíso Metropolitano",45.7
5103,"Concón","Valparaíso Metropolitano",47.9
5109,"Viña del Mar","Valparaíso Metropolitano",46.9
5801,"Quilpué","Valparaíso Metropolitano",42.8
5804,"Villa Alemana","Valparaíso Metropolitano",44.6
6101,"Rancagua","Rancagua - Machalí",44.5
6108,"Machalí","Rancagua - Machalí",42.7
7101,"Talca","Talca - Maule",44.1
7105,"Maule","Talca - Maule",33
8101,"Concepción","Gran Concepcion",49.1
8102,"Coronel","Gran Concepcion",49.5
8103,"Chiguayante","Gran Concepcion",41.2
8106,"Lota","Gran Concepcion",44.7
8107,"Penco","Gran Concepcion",47.6
8108,"San Pedro de la Paz","Gran Concepcion",49.8
8110,"Talcahuano","Gran Concepcion",47.5
8111,"Tomé","Gran Concepcion",44.9
8112,"Hualpén","Gran Concepcion",50
9101,"Temuco","Temuco",47.2
9112,"Padre Las Casas","Temuco",51.1
10101,"Puerto Montt","Puerto Montt - Varas",48.8
10109,"Puerto Varas","Puerto Montt - Varas",47.4
11101,"Coihaique","Coyhaique",51.1
12101,"Punta Arenas","Punta Arenas",43.5
13101,"Santiago","Gran Santiago",42.8
13102,"Cerrillos","Gran Santiago",45.6
13103,"Cerro Navia","Gran Santiago",45.9
13104,"Conchalí","Gran Santiago",42.1
13105,"El Bosque","Gran Santiago",47.5
13106,"Estación Central","Gran Santiago",43.8
13107,"Huechuraba","Gran Santiago",35.9
13108,"Independencia","Gran Santiago",43.9
13109,"La Cisterna","Gran Santiago",44.2
13110,"La Florida","Gran Santiago",43
13111,"La Granja","Gran Santiago",43.3
13112,"La Pintana","Gran Santiago",44.6
13113,"La Reina","Gran Santiago",43.3
13114,"Las Condes","Gran Santiago",39.3
13115,"Lo Barnechea","Gran Santiago",47.8
13116,"Lo Espejo","Gran Santiago",47.4
13117,"Lo Prado","Gran Santiago",47.3
13118,"Macul","Gran Santiago",51.7
13119,"Maipú","Gran Santiago",43.8
13120,"Ñuñoa","Gran Santiago",41.6
13121,"Pedro Aguirre Cerda","Gran Santiago",47
13122,"Peñalolén","Gran Santiago",46.6
13123,"Providencia","Gran Santiago",40.4
13124,"Pudahuel","Gran Santiago",47.2
13125,"Quilicura","Gran Santiago",41.9
13126,"Quinta Normal","Gran Santiago",43
13127,"Recoleta","Gran Santiago",46.1
13128,"Renca","Gran Santiago",44
13129,"San Joaquín","Gran Santiago",40.8
13130,"San Miguel","Gran Santiago",45.2
13131,"San Ramón","Gran Santiago",44.9
13132,"Vitacura","Gran Santiago",45.5
13201,"Puente Alto","Gran Santiago",44.8
13401,"San Bernardo","Gran Santiago",43.6
14101,"Valdivia","Valdivia",49.5
15101,"Arica","Arica",42.6
16101,"Chillán","Chillán",46.9
16102,"Bulnes","Chillán",40.2
16103,"Chillán Viejo","Chillán",52.9
16301,"San Carlos","Chillán",53.2
16305,"San Nicolás","Chillán",36.8
1101,"Iquique","Iquique - Alto Hospicio",48.4
1107,"Alto Hospicio","Iquique - Alto Hospicio",49.8
2101,"Antofagasta","Antofagasta",48.9
3101,"Copiapó","Copiapo",48.9
4101,"La Serena","Gran Coquimbo",49.7
4102,"Coquimbo","Gran Coquimbo",49.7
5101,"Valparaíso","Valparaíso Metropolitano",53.6
5103,"Concón","Valparaíso Metropolitano",46.7
5109,"Viña del Mar","Valparaíso Metropolitano",51.3
5801,"Quilpué","Valparaíso Metropolitano",50
5804,"Villa Alemana","Valparaíso Metropolitano",49.1
6101,"Rancagua","Rancagua - Machalí",49.7
6108,"Machalí","Rancagua - Machalí",47.5
7101,"Talca","Talca - Maule",54.1
7105,"Maule","Talca - Maule",52.3
8101,"Concepción","Gran Concepcion",54.1
8102,"Coronel","Gran Concepcion",54.3
8103,"Chiguayante","Gran Concepcion",57.1
8106,"Lota","Gran Concepcion",54.8
8107,"Penco","Gran Concepcion",54.6
8108,"San Pedro de la Paz","Gran Concepcion",53.1
8110,"Talcahuano","Gran Concepcion",52.9
8111,"Tomé","Gran Concepcion",56.8
8112,"Hualpén","Gran Concepcion",58.6
9101,"Temuco","Temuco",52.4
9112,"Padre Las Casas","Temuco",54.7
10101,"Puerto Montt","Puerto Montt - Varas",55.9
10109,"Puerto Varas","Puerto Montt - Varas",59.8
11101,"Coihaique","Coyhaique",50.2
12101,"Punta Arenas","Punta Arenas",55
13101,"Santiago","Gran Santiago",47
13102,"Cerrillos","Gran Santiago",43.8
13103,"Cerro Navia","Gran Santiago",53.2
13104,"Conchalí","Gran Santiago",49.6
13105,"El Bosque","Gran Santiago",50.2
13106,"Estación Central","Gran Santiago",48.5
13107,"Huechuraba","Gran Santiago",48.9
13108,"Independencia","Gran Santiago",50.5
13109,"La Cisterna","Gran Santiago",44.5
13110,"La Florida","Gran Santiago",48
13111,"La Granja","Gran Santiago",54.2
13112,"La Pintana","Gran Santiago",53.4
13113,"La Reina","Gran Santiago",43.8
13114,"Las Condes","Gran Santiago",45.8
13115,"Lo Barnechea","Gran Santiago",46.4
13116,"Lo Espejo","Gran Santiago",48.7
13117,"Lo Prado","Gran Santiago",46.9
13118,"Macul","Gran Santiago",52.1
13119,"Maipú","Gran Santiago",47.6
13120,"Ñuñoa","Gran Santiago",48.3
13121,"Pedro Aguirre Cerda","Gran Santiago",49.4
13122,"Peñalolén","Gran Santiago",52.8
13123,"Providencia","Gran Santiago",45.5
13124,"Pudahuel","Gran Santiago",55.7
13125,"Quilicura","Gran Santiago",52.5
13126,"Quinta Normal","Gran Santiago",51.2
13127,"Recoleta","Gran Santiago",50.8
13128,"Renca","Gran Santiago",51.8
13129,"San Joaquín","Gran Santiago",49.5
13130,"San Miguel","Gran Santiago",45.7
13131,"San Ramón","Gran Santiago",49.8
13132,"Vitacura","Gran Santiago",41.2
13201,"Puente Alto","Gran Santiago",47.4
13401,"San Bernardo","Gran Santiago",48.7
14101,"Valdivia","Valdivia",53.4
15101,"Arica","Arica",45.3
16101,"Chillán","Chillán",53.3
16102,"Bulnes","Chillán",43.2
16103,"Chillán Viejo","Chillán",56.5
16301,"San Carlos","Chillán",54.7
16305,"San Nicolás","Chillán",40.8
1101,"Iquique","Iquique - Alto Hospicio",45.2
1107,"Alto Hospicio","Iquique - Alto Hospicio",46
2101,"Antofagasta","Antofagasta",44.2
3101,"Copiapó","Copiapo",46.7
4101,"La Serena","Gran Coquimbo",48.1
4102,"Coquimbo","Gran Coquimbo",46.5
5101,"Valparaíso","Valparaíso Metropolitano",50
5103,"Concón","Valparaíso Metropolitano",49.6
5109,"Viña del Mar","Valparaíso Metropolitano",48.4
5801,"Quilpué","Valparaíso Metropolitano",44.8
5804,"Villa Alemana","Valparaíso Metropolitano",47.1
6101,"Rancagua","Rancagua - Machalí",46.7
6108,"Machalí","Rancagua - Machalí",44.7
7101,"Talca","Talca - Maule",51.3
7105,"Maule","Talca - Maule",50.9
8101,"Concepción","Gran Concepcion",54
8102,"Coronel","Gran Concepcion",54.8
8103,"Chiguayante","Gran Concepcion",49.7
8106,"Lota","Gran Concepcion",55.4
8107,"Penco","Gran Concepcion",56.9
8108,"San Pedro de la Paz","Gran Concepcion",53.2
8110,"Talcahuano","Gran Concepcion",57.3
8111,"Tomé","Gran Concepcion",58.4
8112,"Hualpén","Gran Concepcion",58.2
9101,"Temuco","Temuco",52.5
9112,"Padre Las Casas","Temuco",58
10101,"Puerto Montt","Puerto Montt - Varas",56.1
10109,"Puerto Varas","Puerto Montt - Varas",59
11101,"Coihaique","Coyhaique",57.6
12101,"Punta Arenas","Punta Arenas",57.5
13101,"Santiago","Gran Santiago",45.2
13102,"Cerrillos","Gran Santiago",50.1
13103,"Cerro Navia","Gran Santiago",46.4
13104,"Conchalí","Gran Santiago",46
13105,"El Bosque","Gran Santiago",46.3
13106,"Estación Central","Gran Santiago",46.5
13107,"Huechuraba","Gran Santiago",48
13108,"Independencia","Gran Santiago",43.9
13109,"La Cisterna","Gran Santiago",43.6
13110,"La Florida","Gran Santiago",48.1
13111,"La Granja","Gran Santiago",52.1
13112,"La Pintana","Gran Santiago",49.1
13113,"La Reina","Gran Santiago",44.9
13114,"Las Condes","Gran Santiago",50.6
13115,"Lo Barnechea","Gran Santiago",44.9
