"codcomuna","dato"
8103,4973.09557705765
8106,6528.35719923328
8107,5282.25189588478
8108,3212.52949546986
8110,5503.68680706594
8111,5001.90839694656
8112,4048.42117284303
9101,4714.17444003268
9112,4096.86172722983
10101,5399.80760999139
10109,4786.62946889853
11101,4459.91234854344
12101,5966.08041238817
13101,3352.6410679351
13102,4336.06838508825
13103,5222.72306896878
13104,5147.90807307012
13105,5198.70847038233
13106,5784.89656725005
13107,4972.7908194631
13108,7378.46224571888
13109,4291.54354861404
13110,3816.31107498634
13111,3996.19877771042
13112,5437.13549437135
13113,2950.9170728487
13114,2628.38641573644
13115,2701.25086332591
13116,5935.98466884116
13117,4612.7271612257
13118,3666.73118933717
13119,3504.05167119054
13120,2897.34254312838
13121,5160.19716574245
13122,4494.38202247191
13123,3618.47660868097
13124,4193.94805592549
13125,3987.15989691427
13126,5006.18588838125
13127,5536.78913493751
13128,5192.40832143009
13129,4760.2073882048
13130,8152.79489190098
13131,5477.01957890367
13132,2209.70481920016
13201,4166.56748011844
13401,4488.73874680719
14101,5586.2986365148
15101,4706.65827262644
16101,5292.6583818952
16102,4905.25069088038
16103,4086.83588916801
16301,5572.26787264541
16305,5845.28887165568
1101,5893.19756623783
1107,2810.5616815989
2101,4922.60977700508
3101,5415.41814219559
4101,3929.35683946201
4102,4153.14434999215
5101,5525.47574755159
5103,3558.22303199185
5109,3911.36361379009
5801,4168.48601286642
5804,4046.49003849899
6101,5228.75528719561
6108,4070.27150353639
7101,4494.93227833819
7105,3698.15798395299
8101,4400.74949686553
8102,3921.67632438964
8103,3457.06317915184
8106,5542.43676490623
8107,5653.50207287803
8108,3776.206664511
8110,4817.69619140235
8111,3902.65250979944
8112,3446.62735902748
9101,4819.92184114231
9112,4696.19278648519
10101,5200.87747352489
10109,4598.05038612483
11101,5860.57201225741
12101,5642.13185479241
13101,3563.74526341523
13102,4091.44504126818
13103,5421.31054800861
13104,4837.63714950682
13105,4979.01367300205
13106,5266.52504490613
13107,4876.60259995973
13108,5445.93822221118
13109,3897.15167672232
13110,4069.59467903412
13111,5621.77901676772
13112,5812.87014890406
13113,2686.14462494609
13114,2647.54829934094
13115,2405.43557597355
13116,6052.12421339023
13117,4990.04056020559
13118,3736.36873099431
13119,3387.86404420238
13120,2997.10370947978
13121,4531.2545619106
13122,4520.3606597096
13123,3593.87094357839
13124,4258.22156898769
13125,3904.52538631347
13126,5009.98700719452
13127,5241.91035433098
13128,5172.60782713896
13129,5794.34787801144
13130,3787.4474421864
13131,5279.33613838242
13132,3090.93929287896
13201,3977.4138290448
13401,5056.05059941774
14101,4470.61611686405
15101,5186.56367386927
16101,4576.77336896532
16102,4508.49963045085
16103,3522.93577981651
16301,5511.93783468213
16305,4566.42953278216
1101,5106.69791538177
1107,3209.34310226063
2101,4844.6961135366
3101,4968.02523014437
4101,4557.31882915015
4102,4221.76001584708
5101,4995.08237472665
5103,3612.32782732598
5109,3774.22288169812
5801,3333.50132836068
5804,3782.61375121868
6101,5579.68067381237
6108,3779.48593705262
7101,4303.78415587892
7105,3388.17181548879
8101,3883.86733237572
8102,4318.53984464121
8103,3911.41788898476
8106,6098.56450580598
8107,4633.2214618838
8108,4274.43414107588
8110,4329.99484843011
8111,3905.59732664996
8112,3895.41088580576
9101,3909.25269564957
9112,3541.62193114308
10101,5126.69936992507
10109,3684.65513814351
11101,3405.69607647879
12101,4985.7074215537
13101,3195.36176968485
13102,4163.68392966381
13103,5476.64936990363
13104,5417.17512502094
13105,4645.84454336448
13106,5270.6656028626
13107,4464.39376437066
13108,6525.07274900687
13109,4091.39151631075
13110,3684.12858167583
13111,4280.844806844
13112,5137.42291676926
13113,3122.22123421661
13114,2240.2214392006
13115,2451.00100942126
13116,6043.21103732222
13117,4924.59378615277
13118,3592.77600300237
13119,3224.89624604677
13120,3272.2677767506
13121,5643.93156843648
13122,4291.5167891503
13123,2887.9267932697
13124,4262.17129652794
13125,4018.20573983549
13126,4276.75017108928
13127,5752.79444073306
13128,4730.94044852591
13129,4870.59747741457
13130,3874.06091479206
13131,5618.08402246286
13132,2044.39102973892
13201,3614.2133802564
13401,4813.67707754514
14101,4296.23834669796
15101,5043.00746627079
16101,4759.87119262243
16102,5202.2836893395
16103,4300.92059838895
16301,5267.49136476825
16305,4056.11757969078
1101,4896.8730677502
1107,4009.69220163024
2101,4832.83671211385
3101,4597.13592716882
4101,4963.35527200801
4102,4028.92411780956
5101,5100.28221202525
5103,3524.11441659509
5109,4355.67724376212
5801,3583.14786280888
5804,3673.05254261164
6101,4863.59633712028
6108,3631.79095888659
7101,4121.25308177777
7105,3015.77443795802
8101,4823.93001494934
8102,5085.97658281186
8103,3409.02296995133
8106,5560.15833563472
8107,4338.73497124935
8108,3836.78339990387
8110,4860.98510050606
8111,4000.68258091428
8112,4037.7247273799
9101,4155.81907517242
9112,4602.73508137432
10101,5473.61847725686
10109,3892.74201426199
11101,5030.94861091118
12101,4756.16074608983
13101,3028.77876746394
13102,4777.63527781016
13103,5262.88188669633
13104,4827.99171976061
13105,4709.12250003081
13106,5107.05650292695
13107,4902.24781236785
13108,6068.4641161356
13109,4032.07945259771
13110,3534.94256589177
13111,4433.57659301304
13112,5688.00378283867
13113,2930.4767341639
13114,2324.9497943961
13115,2622.24565974915
13116,5920.25492770034
13117,4657.12387000137
13118,3656.40899167877
13119,3595.69991529426
13120,2520.70967672437
13121,5593.95979839433
13122,3902.25502676799
13123,2977.05407004547
13124,3924.39040895044
13125,3704.53221241885
13126,5322.14230152404
13127,5909.35957882583
13128,5211.45823159246
13129,4557.83508324913
13130,3860.22666512901
13131,5782.13298064206
13132,1936.82535200421
13201,3678.74217644074
13401,4848.44084404291
14101,4553.17966513515
15101,5186.33674482878
16101,4206.13564514926
16102,6117.23052714398
16103,4112.39366020686
16301,4298.1436189407
16305,3718.45949535193
1101,5271.22263457892
1107,4115.44102448003
2101,4798.19557005544
3101,4431.60176003152
4101,4454.61464899783
4102,3721.67594002438
5101,4551.48871610089
5103,3171.54596815614
5109,4004.15528601571
5801,3715.87479947138
5804,3500.07367663757
6101,5095.59896203153
6108,3579.61704500857
7101,4090.88540309552
7105,3096.54768870685
8101,4290.29671210906
8102,4808.97319763414
8103,3743.55793090284
8106,5958.36324479541
8107,4117.8775083794
8108,4276.37434660884
8110,4503.62313951449
8111,4186.62778587794
8112,4264.17998279842
9101,4232.96429243386
9112,4973.01518680185
10101,4961.12266821267
10109,3821.21241233548
11101,4596.9198848087
12101,4905.73932074379
13101,3033.28732070077
13102,5121.19649303765
13103,5466.25497585857
13104,5851.84643272287
13105,5450.41494162265
13106,4769.10541078396
13107,4244.67812259554
13108,5696.75925925926
13109,3518.31363186397
13110,3516.4571310512
13111,5182.68738261909
13112,5792.84290061916
13113,2937.29930708129
13114,1982.93087040428
13115,2405.92791364274
13116,6491.75473114136
13117,4169.02310195806
13118,3412.56830601093
13119,3124.993924217
13120,2613.63094386417
13121,5660.66262813599
13122,4297.58204979338
13123,2620.05937947647
13124,4444.26545670958
13125,4062.7894851404
13126,4825.16881405144
13127,5429.91069901119
13128,5245.48216855909
13129,4564.23285098862
13130,3824.00935989409
13131,5680.26546945149
13132,2639.74555428218
13201,4210.72710991164
13401,4853.02719843466
14101,4551.21963718356
15101,4705.53067112056
16101,4658.16375982804
16102,4147.82779634362
16103,3691.76372712146
16301,3997.84008639654
16305,1602.26201696513
1101,5010.22604375248
1107,3300.49732211171
2101,4552.97309851416
3101,4325.61374316709
4101,4272.40972318455
4102,3916.65273831411
5101,4737.3580735433
5103,3992.29911845172
5109,3917.85830171525
5801,3965.33135440149
5804,4090.44368600683
6101,4781.94436145422
6108,3825.10374691766
7101,4509.01756386754
7105,4157.91684166317
8101,4557.81843286158
8102,3901.38316967585
8103,4496.06683406919
8106,5459.83701979045
8107,4370.51532941944
8108,3753.0457896902
8110,4498.86952872209
8111,4161.5458791053
8112,4169.91470372253
9101,4790.9675717656
9112,4375.29246607394
10101,4494.77775588158
10109,3740.28306121967
11101,3712.5982851247
12101,4648.52426532863
13101,2839.62110334454
13102,4093.28219403004
13103,5132.80826260666
13104,5571.08086180474
13105,4371.22267985825
13106,4937.07349384599
13107,4092.42175323308
13108,5823.3927886892
13109,4193.36457618643
13110,3978.37499371041
13111,5225.89491294487
13112,5634.76351295147
13113,2695.13674022191
13114,2409.19992343406
13115,2091.98753794536
13116,6337.06021130372
13117,4112.55878165581
13118,3527.49047359826
13119,3299.92098780733
13120,2755.49536410043
13121,4861.4437570705
13122,4415.98952843981
13123,3263.68284830503
13124,4361.1591887454
13125,3882.44278570197
13126,4965.01640152449
13127,5643.1935731617
13128,4605.13097638199
13129,4908.5883645809
13130,4030.46938509248
13131,5717.67878570457
13132,1973.05597852737
13201,4012.65013272127
13401,4468.67259511918
14101,4434.50527947548
15101,4784.76083233631
16101,5083.60332600766
16102,4239.86652272058
16103,3204.38602465436
16301,5874.72571314582
16305,5365.16853932584
1101,4501.21525943147
1107,3613.72919360991
2101,4836.90574141995
3101,4066.34942916567
4101,4113.67054094697
4102,3801.5739435018
5101,4785.41992326275
5103,3890.29177188289
5109,3899.76677333623
5801,3178.09397612094
5804,2725.4162079485
6101,4544.08883359359
6108,2751.04235670031
7101,4476.6463360321
7105,2798.022953841
8101,3846.33065480021
8102,3937.16583370402
8103,3241.13112982339
8106,5907.54827384435
8107,3095.94160076475
8108,4022.96179232128
8110,4740.91980091125
8111,4411.7924795558
8112,4187.77287649906
9101,4223.99359394336
9112,4292.74393062012
10101,4488.14219464295
10109,4219.85073585827
11101,3636.84629678789
12101,4681.5261362735
13101,3036.98834717217
13102,4379.9250248642
13103,5008.66484384026
13104,5001.19566920368
13105,5430.55022614187
13106,4371.28410709307
13107,4434.16672715772
13108,5571.81878529998
13109,4238.95899053628
13110,3288.57221156481
13111,5095.63567032029
13112,4789.65590176892
13113,2749.53605137021
13114,2506.39101922863
13115,2083.02743762175
13116,5463.83525583227
13117,4951.84197638352
13118,3541.29251762073
13119,2938.67474178585
13120,2464.34794160778
13121,4981.37515177708
13122,3717.74711710798
13123,3575.02986301795
13124,4311.72191637953
13125,3611.19628962398
13126,4129.15447520444
13127,6175.57574902783
13128,5505.07454860321
13129,3744.40510388135
13130,4075.53600987296
13131,4854.62455647638
13132,2202.64885289452
13201,3762.81652336267
13401,4313.19793726805
14101,4092.3921944091
15101,4938.71866295265
16101,4831.38543606827
16102,4931.85606432003
16103,2595.18467669022
16301,4607.57982691734
16305,5070.23909200856
1101,4072.73257145236
1107,2947.97687861272
2101,4488.09660850642
3101,3824.1772273119
4101,3837.05927997172
4102,3431.32886575889
5101,4564.56477693426
5103,2692.63962520035
5109,3768.01962180552
5801,3863.45376010328
5804,3233.0615687377
6101,4443.34545942231
6108,2702.24208453265
7101,4093.31375702067
7105,2886.35595074695
8101,3705.59238483767
8102,3741.14042906718
8103,3644.90081458909
8106,5222.40527182866
8107,4139.24902816687
8108,3314.96751149447
8110,4516.59490980435
8111,3648.61548915608
8112,3765.24699569364
9101,3716.22965821828
9112,4813.71047895345
10101,4244.39938396271
10109,3300.7530844416
11101,4173.63445932863
12101,4019.25845507541
13101,2998.04985785108
13102,3617.3461019216
13103,5468.55081085675
13104,4899.58847736626
13105,4404.17616704668
13106,4189.22542816348
13107,3938.23257327003
13108,6112.21323566814
13109,3733.6093857833
13110,3425.04696235765
13111,5260.16017945707
13112,5391.79042029746
13113,2613.98521887436
13114,2114.46700599431
13115,1946.2685432446
13116,5581.10433286407
13117,3956.92079618043
13118,3398.24019704082
13119,3194.91206945478
13120,2447.0291047782
13121,4473.04807751906
13122,3959.82398921494
13123,3205.36010370504
13124,3548.15256620679
13125,3287.7587587912
13126,4702.82958317287
13127,4337.8920912622
13128,4573.2208404098
13129,5504.33267871606
13130,4051.34871011509
13131,5393.46047666084
13132,1978.59599949038
13201,3505.34080707444
13401,4078.47203418374
14101,4524.66636677163
15101,4204.78172863759
16101,4740.27135161716
16102,2560.33680912518
16103,2399.52601955169
16301,5141.42896814377
16305,4686.20020334596
1101,4424.30542239805
1107,3584.03756679068
2101,4226.24259627162
3101,3863.01836558299
4101,3460.66344744486
4102,3613.78540532998
5101,4607.53493540379
5103,3533.86928326816
5109,3969.79754189383
5801,3253.40721575977
5804,3859.75753534926
6101,5020.08532111615
6108,3310.52544217185
7101,4494.36119837276
7105,3171.35161792041
8101,3921.92873310958
8102,3763.25604578814
8103,3053.22725765971
8106,4838.55717865078
8107,4730.18421680734
8108,3084.75994144185
8110,4164.04905629456
8111,3837.59103430059
8112,3642.77188478256
9101,3622.9617244665
9112,4506.3351661487
10101,4032.57527714673
10109,2636.98089373125
11101,3558.28865762641
12101,4159.05042663908
13101,3062.38728028067
13102,3915.38203545209
13103,5417.40401631146
13104,4498.99081971483
13105,4972.90948357519
13106,3674.72812855056
13107,4393.21832242713
13108,6171.46099706208
13109,3692.65664870995
13110,3355.31167909221
13111,4241.04594905476
13112,4946.20059095724
13113,2469.20536891574
13114,2268.02519477856
13115,1265.84590655025
13116,6051.46406388642
13117,4555.81850206935
13118,3263.03430882289
13119,3223.05193083966
13120,2625.24004041778
13121,5061.59476315654
13122,3386.46815004227
13123,2338.2702559029
13124,3785.25057534435
13125,3127.29655306753
13126,4144.52616391597
13127,4786.74937903316
13128,4158.37294010914
13129,4322.09902294434
13130,3815.94325007474
13131,5383.38333248589
13132,1939.40898932208
13201,3462.50603511803
13401,4234.27464440804
14101,3697.18309859155
15101,4454.14532398084
16101,4345.75029145617
16102,4668.78513810804
16103,2223.59080742926
16301,4628.98854622065
16305,3161.18360595479
1101,4826.27273837138
1107,3014.38440193988
2101,3935.9851677919
3101,3382.08808261094
4101,3210.60720151833
4102,3387.11811171473
5101,4388.28625064235
5103,2523.25942933678
5109,3839.68514022265
5801,3995.11268352612
5804,3528.56514612402
6101,4894.20544156746
6108,2523.15439259059
7101,4252.4378279034
7105,2948.85745375408
8101,3693.59116731982
8102,3690.36135321786
8103,2342.73421432117
8106,4135.60609657661
8107,3203.20971589677
8108,3240.31543283823
8110,3774.56615755187
8111,3549.47003130776
8112,3841.82697716279
9101,4237.33963417468
9112,4858.98564241333
10101,4512.24735856839
10109,3087.97047642338
11101,4496.47813655067
12101,4740.02121021164
13101,2720.12317538907
13102,3885.14338756168
13103,4702.63534124879
13104,5488.1033583437
13105,4532.32965148535
13106,3721.97802834193
13107,3285.87710317384
13108,5244.7639317924
13109,4552.35374210397
13110,3359.30170901823
13111,4775.83359685183
13112,4738.29477034712
13113,2670.14364837908
13114,2011.56268875658
13115,1331.07835748962
13116,5673.58134392958
13117,4586.92075971543
13118,3414.89829762751
13119,3123.24319896947
13120,2076.45202339224
13121,5326.72495177113
13122,3282.81803947657
13123,3205.8090386908
13124,4139.11557287238
13125,3735.84138970252
13126,3952.09680923967
13127,4928.35380367514
13128,5108.08390037833
13129,3914.07028643238
13130,3873.7384211254
13131,4978.66649684774
13132,1220.65954213205
13201,3675.87361025964
13401,4044.26218504585
14101,4333.97107404969
